,0,1,2,3,4
199,1293,1414,1218,3956,2
200,1447,1753,1528,4820,1
201,1278,1408,1229,3617,2
202,1336,1462,1274,3518,2
203,1412,1626,1513,3519,1
204,1338,1502,1302,3496,2
205,1493,1747,1606,3795,1
206,2188,2478,2266,1480,4
207,1471,1720,1460,4576,2
208,1275,1379,1187,3425,2
209,1277,1423,1212,3715,2
210,1266,1298,1180,3241,2
211,1904,2228,2372,2346,3
212,1420,1624,1446,4283,1
213,1548,1770,1672,3613,1
214,1247,1352,1232,3423,2
215,1312,1501,1301,3943,2
216,1264,1389,1191,3670,2
217,1394,1656,1410,4305,1
218,2224,2506,2286,1480,4
219,2864,3174,3372,3481,3
220,1361,1445,1292,3861,2
221,1392,1557,1318,3932,2
222,1440,1638,1461,4074,2
223,1839,2007,2080,2616,3
224,1339,1516,1296,4077,2
225,2000,2162,2216,2690,3
226,1313,1451,1243,3817,2
227,2600,2880,3048,3346,3
228,1260,1407,1234,3749,2
229,1288,1408,1225,3853,2
230,1267,1340,1268,3389,2
231,2222,2516,2270,1478,4
232,1598,1853,1720,3857,1
233,1800,2102,1950,2319,4
234,1312,1482,1289,3611,2
235,1292,1424,1454,3039,1
236,2014,2204,2098,1619,4
237,2148,2384,2526,2587,3
238,1419,1678,1460,4123,1
239,1584,1794,1664,3985,1
240,2114,2324,2400,3306,3
241,1258,1342,1175,3626,2
242,1640,1814,1843,2973,1
243,1420,1710,1578,3980,1
244,1270,1414,1204,3592,2
245,1252,1384,1194,3602,2
246,1474,1776,1564,3944,1
247,1473,1568,1611,3076,1
248,1581,1714,1750,2748,1
249,1660,1850,1841,2993,1
250,1518,1894,1640,4391,1
251,2266,2604,2710,3483,3
252,1542,1684,1742,2785,1
253,1692,1898,1893,3420,3
254,1516,1902,1654,4492,1
255,1497,1628,1678,3078,1
256,1501,1794,1620,4312,1
257,1492,1759,1598,4295,2
258,1429,1683,1404,4860,2
259,1262,1360,1210,3815,2
260,1300,1430,1232,3882,2
261,1485,1766,1546,4368,2
262,1340,1476,1281,4198,2
263,1262,1355,1200,3467,2
264,1251,1362,1184,3614,2
265,1310,1415,1302,2895,1
266,1385,1574,1356,4535,2
267,1411,1631,1342,5184,2
268,1511,1664,1625,3189,1
269,1271,1397,1211,3826,2
270,2214,2484,2278,1483,4
271,1413,1614,1450,3700,2
272,1462,1787,1611,3974,1
273,1255,1284,1205,2862,2
274,1439,1700,1555,4047,1
275,1419,1650,1533,3730,1
276,1444,1701,1542,3842,1
277,1382,1611,1349,4157,2
278,1346,1473,1269,4072,2
279,1326,1524,1297,4028,2
280,1488,1770,1656,4009,1
281,1403,1674,1506,3866,1
282,1472,1700,1518,3962,1
283,1416,1660,1353,5301,2
284,1410,1652,1516,3764,1
285,1392,1636,1332,4232,2
286,1461,1730,1576,3901,1
287,1884,2114,2034,2203,4
288,1509,1722,1607,3857,1
289,1352,1542,1292,4536,2
290,1454,1704,1516,4187,2
291,1421,1598,1482,3394,1
292,1504,1792,1710,3824,1
293,1368,1592,1443,3780,1
294,1536,1774,1693,3943,1
295,1501,1717,1646,3753,1
296,1493,1706,1624,4189,2
297,1378,1520,1313,4132,2
298,1668,1924,2023,3979,1
299,1695,1926,2012,3924,1
300,1334,1472,1263,3610,2
301,1360,1548,1298,4488,2
302,2318,2522,2654,3324,3
303,1352,1548,1284,5264,2
304,1355,1518,1306,4437,2
305,1526,1740,1637,3631,1
306,1384,1553,1435,3374,1
307,1612,1785,1822,2762,3
308,1505,1772,1651,3841,1
309,1536,1766,1706,3565,1
310,1722,1920,2032,2160,3
311,1444,1684,1501,3841,2
312,1349,1432,1282,3665,2
313,2028,2234,2318,3178,3
314,1393,1538,1292,4416,2
315,2018,2232,2312,3260,3
316,1414,1650,1541,3810,1
317,1370,1598,1294,4376,2
318,1476,1762,1672,3966,1
319,1508,1760,1593,4072,1
320,1478,1704,1566,4064,1
321,1443,1698,1584,3889,1
322,1508,1698,1581,4015,1
323,1472,1700,1576,3922,1
324,1277,1352,1245,2535,1
325,1358,1580,1296,4227,2
326,1384,1538,1404,3255,2
327,1402,1552,1392,3671,2
328,1500,1578,1532,1731,4
329,1481,1734,1564,4127,2
330,1500,1770,1656,3982,1
331,1409,1629,1430,3544,1
332,1510,1796,1696,4099,1
333,1534,1843,1717,3976,1
334,1452,1728,1524,4369,2
335,1421,1667,1525,4096,2
336,1532,1676,1632,3014,1
337,1332,1442,1242,3720,2
338,1345,1418,1296,3452,2
339,1474,1693,1548,3932,1
340,2002,2240,2122,1544,4
341,1618,1940,1792,4428,1
342,1462,1666,1502,3854,2
343,2440,2704,2880,3573,1
344,1454,1676,1424,4740,2
345,1451,1713,1435,4355,1
346,1497,1720,1518,4819,1
347,1700,1916,1914,2776,1
348,2424,2682,2848,3454,3
349,2064,2282,2366,3087,3
350,1916,2156,2228,2941,3
351,1389,1526,1338,4474,2
